"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","Nation","name","Year"
"ALFONSO","Javier","m","USA","19-20 Aug 2022","2022 U.S. Championships","final","Tampa, FL","SR",NA,4.5,8.5,NA,13,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","28-31 July 2022","2022 U.S. Classic","AAfinal","West Valley City, Utah","FX",16,4.9,8.55,NA,13.45,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","28-31 July 2022","2022 U.S. Classic","AAfinal","West Valley City, Utah","HB",33,4.5,7.05,NA,11.55,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","28-31 July 2022","2022 U.S. Classic","AAfinal","West Valley City, Utah","PB",25,5.1,7.85,NA,12.95,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","28-31 July 2022","2022 U.S. Classic","AAfinal","West Valley City, Utah","SR",12,5.4,7.9,NA,13.3,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","28-31 July 2022","2022 U.S. Classic","AAfinal","West Valley City, Utah","VT",25,4.4,9.05,NA,13.45,"USA","Javier ALFONSO","2022"
"ALFONSO","Javier","m","USA","4-6 Aug 2023","2023 Core Hydration Classic","AAfinal","Hoffman Estates, Illinois","FX",5,5,9.3,NA,14.3,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","4-6 Aug 2023","2023 Core Hydration Classic","AAfinal","Hoffman Estates, Illinois","PB",28,5,8.4,NA,13.4,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","4-6 Aug 2023","2023 Core Hydration Classic","AAfinal","Hoffman Estates, Illinois","SR",3,5.6,8.6,NA,14.2,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","qual","San Jose, CA","FX",NA,5,9.05,NA,14.05,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","final","San Jose, CA","FX",NA,5,8.95,NA,13.95,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","qual","San Jose, CA","PB",NA,4.7,7.85,NA,12.55,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","final","San Jose, CA","PB",NA,5,8.8,NA,13.8,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","qual","San Jose, CA","SR",NA,5.6,8.5,NA,14.1,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","26-27 Aug 2023","2023 U.S. Championships","final","San Jose, CA","SR",NA,5.6,8.4,NA,14,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","24-26 Feb 2023","2023 Winter Cup","AAfinal","Louisville, Kentucky","FX",12,5,8.2,NA,13.2,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","24-26 Feb 2023","2023 Winter Cup","AAfinal","Louisville, Kentucky","PB",26,5,7.6,NA,12.6,"USA","Javier ALFONSO","2023"
"ALFONSO","Javier","m","USA","24-26 Feb 2023","2023 Winter Cup","AAfinal","Louisville, Kentucky","SR",3,5.6,8.55,NA,14.15,"USA","Javier ALFONSO","2023"
"ANAYA","Ashton","m","USA","4-6 Aug 2023","2023 Core Hydration Classic","AAfinal","Hoffman Estates, Illinois","SR",12,5.6,7.8,NA,13.4,"USA","Ashton ANAYA","2023"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","qual","Tampa, FL","FX",NA,5.1,8.4,NA,13.5,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","final","Tampa, FL","FX",NA,4.2,8.1,NA,12.3,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","qual","Tampa, FL","HB",NA,5,8,NA,13,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","final","Tampa, FL","HB",NA,5,7.3,NA,12.3,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","qual","Tampa, FL","PB",NA,4.3,8.95,NA,13.25,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","final","Tampa, FL","PB",NA,4.3,9.45,NA,13.75,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","qual","Tampa, FL","PH",NA,5,7.15,NA,12.15,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","final","Tampa, FL","PH",NA,5,7.95,NA,12.95,"USA","Michael ARTLIP","2022"
"ARTLIP","Michael","m","USA","19-20 Aug 2022","2022 U.S. Championships","qual","Tampa, FL","SR",NA,3.9,8.5,NA,12.4,"USA","Michael ARTLIP","2022"
