,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Nation,name,Year,Month
0,ALFONSO,Javier,m,USA,19-20 Aug 2022,2022 U.S. Championships,final,"Tampa, FL",SR,,4.5,8.5,,13.0,USA,Javier ALFONSO,2022,8
1,ALFONSO,Javier,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",FX,16.0,4.9,8.55,,13.45,USA,Javier ALFONSO,2022,7
2,ALFONSO,Javier,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",HB,33.0,4.5,7.05,,11.55,USA,Javier ALFONSO,2022,7
3,ALFONSO,Javier,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",PB,25.0,5.1,7.85,,12.95,USA,Javier ALFONSO,2022,7
4,ALFONSO,Javier,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",SR,12.0,5.4,7.9,,13.3,USA,Javier ALFONSO,2022,7
5,ALFONSO,Javier,m,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",VT,25.0,4.4,9.05,,13.45,USA,Javier ALFONSO,2022,7
6,ALFONSO,Javier,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",FX,5.0,5.0,9.3,,14.3,USA,Javier ALFONSO,2023,8
7,ALFONSO,Javier,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",PB,28.0,5.0,8.4,,13.4,USA,Javier ALFONSO,2023,8
8,ALFONSO,Javier,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",SR,3.0,5.6,8.6,,14.2,USA,Javier ALFONSO,2023,8
9,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",FX,,5.0,9.05,,14.05,USA,Javier ALFONSO,2023,8
10,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",FX,,5.0,8.95,,13.95,USA,Javier ALFONSO,2023,8
11,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PB,,4.7,7.85,,12.55,USA,Javier ALFONSO,2023,8
12,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PB,,5.0,8.8,,13.8,USA,Javier ALFONSO,2023,8
13,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",SR,,5.6,8.5,,14.1,USA,Javier ALFONSO,2023,8
14,ALFONSO,Javier,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",SR,,5.6,8.4,,14.0,USA,Javier ALFONSO,2023,8
15,ALFONSO,Javier,m,USA,24-26 Feb 2023,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,12.0,5.0,8.2,,13.2,USA,Javier ALFONSO,2023,2
