"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","Nation","name","Year"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","BB",1,6.4,8.033,NA,14.433,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","final","Antwerp, Belgium","BB",1,6.5,8.3,NA,14.8,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","BB",1,6.3,8.266,NA,14.566,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","BB",NA,6,8.3,NA,14.3,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","FX",1,6.5,8.033,NA,14.533,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","final","Antwerp, Belgium","FX",1,6.7,8.033,0.1,14.633,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",1,6.7,7.933,NA,14.633,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","FX",NA,6.7,8.466,NA,15.166,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","UB",6,6,8.333,NA,14.333,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","final","Antwerp, Belgium","UB",5,6,8.2,NA,14.2,"USA","Simone BILES","2023"
"BILES","Simone","w","USA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","UB",5,6,8.4,NA,14.4,"USA","Simone BILES","2023"
