,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Nation,name,Year,Month
0,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",BB,1.0,6.4,8.033,,14.433,USA,Simone BILES,2023,10
1,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",BB,1.0,6.5,8.3,,14.8,USA,Simone BILES,2023,10
2,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,1.0,6.3,8.266,,14.566,USA,Simone BILES,2023,10
3,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,,6.0,8.3,,14.3,USA,Simone BILES,2023,10
4,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,1.0,6.5,8.033,,14.533,USA,Simone BILES,2023,10
5,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",FX,1.0,6.7,8.033,0.1,14.633,USA,Simone BILES,2023,10
6,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,1.0,6.7,7.933,,14.633,USA,Simone BILES,2023,10
7,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,,6.7,8.466,,15.166,USA,Simone BILES,2023,10
8,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,6.0,6.0,8.333,,14.333,USA,Simone BILES,2023,10
9,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",UB,5.0,6.0,8.2,,14.2,USA,Simone BILES,2023,10
10,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,5.0,6.0,8.4,,14.4,USA,Simone BILES,2023,10
11,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",UB,,6.0,8.466,,14.466,USA,Simone BILES,2023,10
12,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,1.0,5.6,9.5,,15.1,USA,Simone BILES,2023,10
13,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,,5.6,9.2,,14.8,USA,Simone BILES,2023,10
14,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",VT,2.0,6.4,8.533,0.5,14.433,USA,Simone BILES,2023,10
15,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,1.0,6.4,9.366,0.5,15.266,USA,Simone BILES,2023,10
16,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",VT,2.0,5.6,9.066,,14.666,USA,Simone BILES,2023,10
17,BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,1.0,5.6,9.033,,14.633,USA,Simone BILES,2023,10
18,BILES,Simone,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",BB,1.0,6.5,8.3,,14.8,USA,Simone BILES,2023,8
19,BILES,Simone,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",FX,1.0,6.8,8.1,,14.9,USA,Simone BILES,2023,8
20,BILES,Simone,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",UB,3.0,6.0,8.0,,14.0,USA,Simone BILES,2023,8
